sample,process_a,process_b,process_c
1,0,0,0
2,37,19,0
3,42,28,7
4,30,19,4
5,21,14,5
6,51,31,12
7,11,7,3
8,4,3,3
9,33,31,17
10,7,5,2
11,14,16,7
12,31,21,10
13,23,10,4
14,12,6,2
15,61,47,13
16,49,41,18
17,8,11,6
18,28,34,10
19,16,6,6
20,64,31,23
21,38,31,12
22,32,25,10
23,7,4,3
24,27,6,7
25,25,13,6
26,14,11,9
27,9,8,3
28,23,15,4
29,48,27,9
30,32,15,15
31,6,1,2
32,9,5,5
33,12,9,2
34,43,23,18
35,10,6,3
36,41,28,12
37,98,60,40
38,16,14,5
39,25,12,11
40,66,37,15
41,25,23,8
42,22,13,6
43,20,13,11
44,26,24,8
45,4,6,1
46,18,11,4
47,15,12,4
48,28,15,12
49,14,5,7
50,23,13,10
